name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,positions_list,primary_position,positions_count,flag_missing_birth_date,flag_overall_gt_potential,flag_non_positive_value,flag_non_positive_wage,player_key
M. Gakpa,Marvin Gakpa,1993-11-01,32.2,182.88,69.9,"CM,LM",France,69,73,1300000.0,4000.0,Left,1,2,3,Lean,2500000.0,,,,,59,65,52,72,57,76,70,65,68,70,82,76,78,71,72,65,31,69,63,72,51,48,67,68,52,63,49,48,43,"['CM', 'LM']",CM,2,False,False,False,False,marvin-gakpa-1993-11-01
A. Firth,Andy Firth,1996-09-26,29.3,185.42,74.8,GK,England,55,63,100000.0,3000.0,Right,1,3,1,Lean,200000.0,,,,,13,7,11,18,5,9,11,13,24,19,17,16,37,43,41,20,62,25,41,5,26,7,4,32,17,23,6,10,12,['GK'],GK,1,False,False,False,False,andy-firth-1996-09-26
J. Murphy,Jacob Murphy,1995-02-24,30.9,152.4,73.9,"RM,LM",England,72,77,4200000.0,27000.0,Right,1,3,3,Lean,,,,,,69,66,40,68,50,78,75,62,60,70,77,82,78,64,75,73,46,66,59,73,31,18,68,71,68,65,34,38,39,"['RM', 'LM']",RM,2,False,False,False,False,jacob-murphy-1995-02-24
M. Al Haidari,Marwan Al Haidari,1996-04-12,29.8,187.96,86.2,GK,Saudi Arabia,57,65,110000.0,3000.0,Right,1,2,1,Normal,209000.0,,,,,15,16,15,17,18,15,11,12,16,14,30,32,24,51,39,19,41,25,59,18,21,15,16,32,16,43,30,11,12,['GK'],GK,1,False,False,False,False,marwan-al-haidari-1996-04-12
V. Xenopoulos,Vasilios Xenopoulos,1998-05-20,27.7,185.42,83.9,GK,Greece,60,74,375000.0,1000.0,Right,1,3,1,Normal,1100000.0,,,,,14,10,12,24,10,10,14,14,29,11,25,33,45,54,45,60,61,45,68,10,17,10,10,50,19,46,15,10,14,['GK'],GK,1,False,False,False,False,vasilios-xenopoulos-1998-05-20
J. Earing,Jack Earing,1999-01-21,27.0,182.88,79.8,CM,England,55,70,190000.0,1000.0,Right,1,3,2,Lean,470000.0,,,,,42,45,44,68,44,52,49,44,61,59,65,67,60,55,69,55,58,42,61,38,45,23,46,53,44,65,37,42,49,['CM'],CM,1,False,False,False,False,jack-earing-1999-01-21
N. Stephan,Nico Stephan,2000-08-24,25.4,190.5,83.9,GK,Germany,49,67,50000.0,1000.0,Right,1,3,1,Normal,104000.0,,,,,10,9,15,28,7,12,13,12,16,10,20,28,21,33,38,21,55,23,58,6,27,9,5,36,15,24,12,13,9,['GK'],GK,1,False,False,False,False,nico-stephan-2000-08-24
F. Perucchini,Filippo Perucchini,1991-10-06,34.3,190.5,88.9,GK,Italy,66,70,575000.0,3000.0,Left,1,2,1,Normal,1100000.0,,,,,18,18,11,28,11,18,11,11,26,20,48,42,34,54,42,22,69,27,76,18,18,23,13,16,22,53,15,18,14,['GK'],GK,1,False,False,False,False,filippo-perucchini-1991-10-06
G. Courtet,Gaëtan Courtet,1989-02-22,36.9,154.94,76.2,ST,France,69,69,1100000.0,5000.0,Right,1,3,3,Lean,1800000.0,,,,,66,69,68,68,59,65,52,67,45,67,68,69,71,66,74,67,89,75,74,64,54,32,69,59,59,66,19,19,16,['ST'],ST,1,False,False,False,False,ga-tan-courtet-1989-02-22
V. Adeboyejo,Victor Adeboyejo,1998-01-12,28.0,152.4,63.0,ST,England,54,63,110000.0,2000.0,Right,1,3,2,Stocky,215000.0,,,,,33,56,53,48,41,48,32,34,34,50,67,73,64,54,81,50,75,54,34,47,34,15,55,50,58,45,35,19,18,['ST'],ST,1,False,False,False,False,victor-adeboyejo-1998-01-12
K. Papadopoulos,Kyriakos Papadopoulos,1992-02-23,33.9,185.42,87.1,CB,Greece,77,79,9000000.0,15000.0,Right,2,3,2,Stocky,15100000.0,,,,,44,24,87,53,44,40,40,43,50,52,58,55,53,68,60,68,91,52,90,58,92,64,35,44,46,60,75,80,79,['CB'],CB,1,False,False,False,False,kyriakos-papadopoulos-1992-02-23
W. Hughes,Will Hughes,1995-04-17,30.8,185.42,73.9,"CAM,RM,CM",England,77,83,12000000.0,45000.0,Left,1,3,4,Lean,25200000.0,,,,,69,67,58,79,48,78,60,60,73,80,67,59,71,77,75,60,51,74,59,62,70,65,72,84,66,78,69,72,69,"['CAM', 'RM', 'CM']",CAM,3,False,False,False,False,will-hughes-1995-04-17
W. Ángel,Wilker José Ángel Romero,1993-03-18,32.8,187.96,83.9,CB,Venezuela,72,78,,,Right,1,3,2,Normal,,,,,,34,21,70,58,24,38,32,25,50,57,53,61,39,68,42,42,76,62,89,37,77,73,27,34,36,63,72,70,66,['CB'],CB,1,False,False,False,False,wilker-jos-ngel-romero-1993-03-18
G. Melkadze,Georgiy Melkadze,1997-04-04,28.8,182.88,83.9,"LM,CAM",Russia,65,74,850000.0,1000.0,Right,1,3,3,Normal,2000000.0,,,,,52,59,68,64,49,65,47,48,58,65,75,73,72,58,65,65,71,67,75,63,81,45,64,64,50,63,55,41,32,"['LM', 'CAM']",LM,2,False,False,False,False,georgiy-melkadze-1997-04-04
F. N'Sakala,Fabrice N'Sakala,1990-07-21,35.5,152.4,73.9,"LB,LM",DR Congo,69,69,875000.0,7000.0,Left,1,2,3,Normal,1800000.0,,,,,71,37,59,67,41,74,55,50,65,74,83,85,78,64,78,45,85,83,67,58,70,67,67,68,55,66,58,62,55,"['LB', 'LM']",LB,2,False,False,False,False,fabrice-n-sakala-1990-07-21
F. Píriz,Facundo Píriz,1990-03-27,35.8,187.96,81.2,"CDM,CM",Uruguay,69,69,850000.0,11000.0,Right,1,3,2,Normal,1600000.0,,,,,63,33,57,64,43,52,49,54,64,64,59,55,58,69,59,54,77,76,83,53,81,66,53,64,56,61,68,67,66,"['CDM', 'CM']",CDM,2,False,False,False,False,facundo-p-riz-1990-03-27
N. Pantaleone,Nicolás Pantaleone,1993-02-18,32.9,152.4,77.1,LB,Argentina,63,66,375000.0,3000.0,Left,1,3,2,Normal,572000.0,,,,,57,29,54,56,36,58,33,35,28,59,65,65,61,57,65,32,55,60,61,34,55,59,44,38,40,47,65,66,68,['LB'],LB,1,False,False,False,False,nicol-s-pantaleone-1993-02-18
N. Phillips,Nathaniel Phillips,1997-03-21,28.8,187.96,69.9,CB,England,61,74,425000.0,9000.0,Right,1,3,2,Lean,1100000.0,,,,,30,23,62,56,30,33,29,35,45,40,52,52,42,56,57,45,64,59,70,21,60,58,25,39,45,55,58,62,59,['CB'],CB,1,False,False,False,False,nathaniel-phillips-1997-03-21
K. Sparta,Kosta Sparta,1999-09-26,26.3,152.4,69.9,CAM,Australia,53,67,120000.0,1000.0,Right,1,2,2,Lean,285000.0,,,,,50,44,46,61,23,45,38,45,59,52,63,67,62,47,70,36,51,58,54,29,39,24,48,54,46,51,30,41,36,['CAM'],CAM,1,False,False,False,False,kosta-sparta-1999-09-26
N. Citro,Nicola Citro,1989-05-27,36.6,172.72,59.9,ST,Italy,68,68,900000.0,8000.0,Left,1,2,3,Lean,,,,,,59,72,58,69,61,69,57,58,48,74,74,68,80,61,87,63,55,59,45,64,35,23,72,66,65,51,19,23,22,['ST'],ST,1,False,False,False,False,nicola-citro-1989-05-27
F. Hanin,Florent  Hanin,1990-02-04,36.0,152.4,64.9,LB,France,75,75,5500000.0,10000.0,Left,1,3,3,Normal,11600000.0,,,,,75,38,49,73,33,74,72,54,65,73,89,81,78,75,73,60,60,91,64,46,71,68,60,62,25,73,72,74,71,['LB'],LB,1,False,False,False,False,florent-hanin-1990-02-04
K. Laribi,Karim Laribi,1991-04-20,34.8,175.26,67.1,"CM,CF,LW",Tunisia,70,70,1800000.0,3000.0,Right,1,5,3,Normal,2900000.0,,,,,68,70,54,72,68,71,68,67,67,74,80,77,83,70,87,69,63,77,51,68,45,44,72,70,70,78,41,52,48,"['CM', 'CF', 'LW']",CM,3,False,False,False,False,karim-laribi-1991-04-20
Lisandro Semedo,Lisandro Pedro Varela Semedo,1996-03-12,29.9,175.26,73.9,RW,Portugal,70,76,2400000.0,5000.0,Right,1,3,4,Normal,4000000.0,,,,,67,69,53,64,65,73,61,43,62,74,82,84,78,64,75,72,59,70,70,66,49,23,63,63,41,64,35,23,21,['RW'],RW,1,False,False,False,False,lisandro-pedro-varela-semedo-1996-03-12
Kim Kyung Jung,김경중 金京中,1991-04-16,34.8,152.4,71.2,"LW,LM",Korea Republic,62,62,325000.0,1000.0,Right,1,3,2,Lean,,,,,,62,55,39,61,42,61,47,35,37,62,80,80,71,61,71,48,46,65,45,33,23,30,62,63,53,54,12,22,17,"['LW', 'LM']",LW,2,False,False,False,False,1991-04-16
A. Allione,Agustín Allione,1994-10-28,31.2,170.18,68.9,"CAM,RM",Argentina,72,78,4300000.0,11000.0,Right,1,3,3,Normal,7200000.0,,,,,70,64,60,72,50,75,71,69,69,75,84,78,77,69,76,69,70,77,55,52,53,42,67,69,66,57,31,23,36,"['CAM', 'RM']",CAM,2,False,False,False,False,agust-n-allione-1994-10-28
V. Moreno,Víctor Andrés Moreno Córdoba,1994-10-23,31.2,154.94,78.0,CM,Colombia,53,59,80000.0,1000.0,Right,1,2,2,Lean,124000.0,,,,,38,33,36,57,31,50,38,36,55,51,68,65,62,51,62,56,49,55,59,46,56,45,53,51,44,46,49,46,41,['CM'],CM,1,False,False,False,False,v-ctor-andr-s-moreno-c-rdoba-1994-10-23
Róber,Roberto Suárez Pier,1995-02-16,30.9,182.88,73.9,"CB,CDM",Spain,74,82,7000000.0,8000.0,Right,1,3,2,Normal,,,,,,52,47,69,73,47,56,42,42,70,70,63,58,56,67,64,36,76,72,75,39,66,74,49,52,44,62,76,75,75,"['CB', 'CDM']",CB,2,False,False,False,False,roberto-su-rez-pier-1995-02-16
K. Skaanes,Kasper Skaanes,1995-03-19,30.8,175.26,60.8,"CM,RM,LW",Norway,61,70,375000.0,1000.0,Right,1,3,3,Lean,544000.0,,,,,58,58,41,64,43,66,56,42,61,67,74,75,68,60,81,55,53,67,55,48,45,33,60,60,48,64,35,39,32,"['CM', 'RM', 'LW']",CM,3,False,False,False,False,kasper-skaanes-1995-03-19
P. Chavarría,Pablo Chavarría,1988-01-02,38.0,185.42,79.8,"ST,RM",Argentina,74,74,5500000.0,19000.0,Right,1,4,3,Normal,11000000.0,,,,,68,75,70,74,61,72,57,58,62,74,68,74,72,73,71,72,78,79,76,65,70,28,75,70,63,69,24,37,48,"['ST', 'RM']",ST,2,False,False,False,False,pablo-chavarr-a-1988-01-02
Gedson Fernandes,Gedson Carvalho Fernandes,1999-01-09,27.0,154.94,71.2,CM,Portugal,75,85,10500000.0,6000.0,Right,1,3,3,Lean,23100000.0,,,,,71,64,61,75,64,75,68,70,72,76,81,78,79,76,71,80,71,80,73,77,78,68,71,73,61,74,71,74,73,['CM'],CM,1,False,False,False,False,gedson-carvalho-fernandes-1999-01-09
P. Billing,Philip Billing,1996-06-11,29.6,198.12,79.8,"CDM,CM",Denmark,74,83,7500000.0,30000.0,Left,1,3,2,Lean,15800000.0,,,,,64,64,72,76,68,72,74,73,77,75,58,61,56,72,58,84,61,62,75,78,65,74,63,69,52,74,73,77,73,"['CDM', 'CM']",CDM,2,False,False,False,False,philip-billing-1996-06-11
Thiago Silva,Thiago Emiliano da Silva,1984-09-22,41.3,182.88,82.1,CB,Brazil,88,88,24000000.0,165000.0,Right,4,3,2,Normal,44400000.0,,,,,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,86,88,89,85,['CB'],CB,1,False,False,False,False,thiago-emiliano-da-silva-1984-09-22
T. Hagelskjaer,Thomas Hagelskjaer,1995-02-04,31.0,187.96,81.2,GK,Denmark,56,64,100000.0,1000.0,Right,1,2,1,Normal,145000.0,,,,,18,15,15,22,18,14,19,17,19,22,38,37,39,57,54,23,53,31,66,20,35,18,16,40,20,40,19,19,19,['GK'],GK,1,False,False,False,False,thomas-hagelskjaer-1995-02-04
D. González,Diego Hernán González,1988-02-09,37.9,154.94,78.0,CM,Argentina,75,75,6000000.0,21000.0,Right,1,3,3,Normal,10200000.0,,,,,68,64,64,75,50,71,58,41,72,73,68,69,66,74,59,75,69,93,79,71,84,74,68,73,57,76,63,71,69,['CM'],CM,1,False,False,False,False,diego-hern-n-gonz-lez-1988-02-09
A. Søndergaard,Andreas Søndergaard,2001-01-17,25.0,187.96,76.2,GK,Denmark,54,77,120000.0,2000.0,Right,1,4,1,Lean,348000.0,,,,,11,8,12,23,6,6,14,10,22,18,21,20,38,51,32,15,60,24,64,5,28,6,4,33,13,39,12,12,11,['GK'],GK,1,False,False,False,False,andreas-s-ndergaard-2001-01-17
M. Aarons,Maximillian James Aarons,2000-01-04,26.0,175.26,68.9,RB,England,70,85,3300000.0,6000.0,Right,1,3,3,Normal,8200000.0,,,,,57,39,52,67,41,70,50,32,56,70,84,82,83,65,83,46,52,80,56,36,68,63,64,50,27,75,72,73,68,['RB'],RB,1,False,False,False,False,maximillian-james-aarons-2000-01-04
A. Iacobucci,Alessandro Iacobucci,1991-06-03,34.6,187.96,82.1,GK,Italy,67,67,525000.0,4000.0,Right,1,1,1,Stocky,945000.0,,,,,15,13,12,27,14,18,16,18,38,26,44,43,47,67,43,41,66,34,55,15,34,19,11,24,23,47,20,19,14,['GK'],GK,1,False,False,False,False,alessandro-iacobucci-1991-06-03
Zhou Qiming,周其明,1994-07-02,31.6,172.72,64.9,RB,China PR,56,60,100000.0,2000.0,Right,1,3,2,Lean,223000.0,,,,,50,36,49,57,47,45,48,32,52,53,57,73,86,57,86,50,86,56,58,49,52,56,48,41,37,53,55,53,47,['RB'],RB,1,False,False,False,False,1994-07-02
J. Molina,Jesús Antonio Molina Granados,1988-03-29,37.8,185.42,77.1,"CDM,CM,CB",Mexico,73,73,3000000.0,27000.0,Right,1,4,3,Lean,5000000.0,,,,,60,55,86,70,43,63,40,47,70,69,69,68,69,73,73,64,74,88,80,62,71,72,70,67,52,70,66,71,72,"['CDM', 'CM', 'CB']",CDM,3,False,False,False,False,jes-s-antonio-molina-granados-1988-03-29
D. Pineda,Denis Omar Pineda Torres,1995-08-10,30.4,152.4,66.2,"LW,RW",El Salvador,69,75,1400000.0,3000.0,Left,1,4,4,Lean,3300000.0,,,,,65,65,30,64,59,76,64,34,58,72,73,74,74,66,74,73,52,70,47,70,29,15,66,62,56,73,32,29,35,"['LW', 'RW']",LW,2,False,False,False,False,denis-omar-pineda-torres-1995-08-10
J. Caletti,Joe Kato Caletti,1998-09-14,27.3,170.18,64.9,"CDM,CM",Australia,61,73,375000.0,1000.0,Right,1,3,2,Lean,544000.0,,,,,53,38,45,64,27,60,30,33,61,62,68,67,89,57,87,45,62,73,44,37,52,59,60,63,38,66,65,57,53,"['CDM', 'CM']",CDM,2,False,False,False,False,joe-kato-caletti-1998-09-14
D. Buonanotte,Diego Mario Buonanotte Rende,1988-04-19,37.8,160.02,57.2,CAM,Argentina,77,77,8500000.0,12000.0,Left,2,4,4,Lean,11900000.0,,,,,74,62,36,74,61,79,83,76,73,79,91,85,90,74,94,69,58,63,30,78,30,25,69,77,71,71,35,31,18,['CAM'],CAM,1,False,False,False,False,diego-mario-buonanotte-rende-1988-04-19
T. Pachonik,Tobias Pachonik,1995-01-04,31.0,185.42,88.0,"RB,RM",Germany,71,76,2600000.0,2000.0,Right,1,2,3,Normal,4300000.0,,,,,68,45,67,64,47,64,53,44,59,69,72,78,61,70,65,59,64,84,80,48,69,69,54,49,41,65,63,68,67,"['RB', 'RM']",RB,2,False,False,False,False,tobias-pachonik-1995-01-04
Miguel Oliveira,Miguel Aires Fernandes Olivera,1994-05-25,31.7,195.58,98.0,GK,Portugal,67,70,675000.0,2000.0,Left,1,2,1,Stocky,1500000.0,,,,,15,13,14,23,19,17,16,15,16,24,27,28,35,57,25,25,45,24,74,14,23,19,17,38,23,27,12,15,13,['GK'],GK,1,False,False,False,False,miguel-aires-fernandes-olivera-1994-05-25
Kim Min Ho,Min Ho Kim,1997-06-06,28.6,187.96,84.8,CB,Korea Republic,58,65,150000.0,1000.0,Right,1,3,2,Normal,218000.0,,,,,24,16,54,33,22,27,22,23,25,32,55,59,42,48,52,32,68,55,79,17,63,61,22,26,32,47,54,59,56,['CB'],CB,1,False,False,False,False,min-ho-kim-1997-06-06
D. Dressel,Dennis Dressel,1998-10-26,27.2,185.42,74.8,CM,Germany,56,70,190000.0,1000.0,Left,1,3,2,Lean,394000.0,,,,,41,46,47,57,41,54,47,41,51,59,64,55,58,57,68,52,63,73,61,43,60,46,52,55,38,43,39,46,41,['CM'],CM,1,False,False,False,False,dennis-dressel-1998-10-26
V. Zhironkin,Vitaliy Zhironkin,2000-03-10,25.9,170.18,60.8,"ST,CM",Russia,57,77,220000.0,1000.0,Left,1,2,2,Lean,704000.0,,,,,32,59,59,48,41,62,41,37,35,58,71,72,50,53,87,57,61,50,35,52,30,16,46,44,63,45,21,13,19,"['ST', 'CM']",ST,2,False,False,False,False,vitaliy-zhironkin-2000-03-10
K. Lebon,Keelan Lebon,1997-07-04,28.5,175.26,68.0,LW,France,58,66,190000.0,1000.0,Right,1,3,2,Lean,,,,,,54,45,38,59,43,61,53,45,52,57,76,75,72,52,70,50,57,49,47,41,51,28,53,56,45,57,30,31,34,['LW'],LW,1,False,False,False,False,keelan-lebon-1997-07-04
B. Saller,Benedikt Saller,1992-09-22,33.3,152.4,69.9,"RB,CM",Germany,69,72,1100000.0,5000.0,Right,1,3,3,Normal,1800000.0,,,,,72,47,63,72,48,63,52,40,66,69,74,71,70,68,71,65,70,72,64,55,64,66,57,65,46,62,63,66,61,"['RB', 'CM']",RB,2,False,False,False,False,benedikt-saller-1992-09-22
M. Vojvoda,Mërgim Vojvoda,1995-02-01,31.0,185.42,78.9,RB,Kosovo,68,73,1000000.0,4000.0,Right,1,4,2,Normal,1500000.0,,,,,72,35,55,65,47,67,62,58,67,62,69,68,66,66,67,62,65,72,67,49,67,65,62,64,35,60,64,66,68,['RB'],RB,1,False,False,False,False,m-rgim-vojvoda-1995-02-01
A. Talavera,Alfredo Talavera Díaz,1982-09-18,43.3,187.96,82.1,GK,Mexico,74,74,1300000.0,10000.0,Right,2,4,1,Normal,2300000.0,,,,,15,13,14,35,13,10,15,14,35,21,58,58,57,69,47,25,80,36,75,13,38,24,14,43,44,60,26,13,14,['GK'],GK,1,False,False,False,False,alfredo-talavera-d-az-1982-09-18
A. Karadas,Azar Karadas,1981-08-09,44.4,187.96,88.0,"ST,CB",Norway,61,61,90000.0,1000.0,Right,1,3,2,Stocky,113000.0,,,,,54,54,79,62,67,51,45,23,55,58,38,45,55,50,52,73,74,32,85,45,76,51,57,50,56,71,58,56,49,"['ST', 'CB']",ST,2,False,False,False,False,azar-karadas-1981-08-09
F. Falcone,Federico Matías Falcone,1990-02-21,35.9,187.96,78.9,ST,Argentina,68,68,925000.0,4000.0,Right,1,3,3,Normal,1900000.0,,,,,36,71,73,54,63,62,61,56,30,66,57,51,57,64,60,74,69,61,69,65,54,17,71,47,64,53,17,18,15,['ST'],ST,1,False,False,False,False,federico-mat-as-falcone-1990-02-21
Alex,Alexandre Henrique Gonçalves De Freitas,1991-08-27,34.4,175.26,68.0,"LW,RW",Portugal,69,69,1100000.0,4000.0,Left,1,3,3,Lean,2400000.0,,,,,71,62,52,69,62,71,76,71,64,70,71,74,87,65,79,69,56,53,46,64,50,23,64,68,69,68,23,28,31,"['LW', 'RW']",LW,2,False,False,False,False,alexandre-henrique-gon-alves-de-freitas-1991-08-27
I. Seck,Ibrahima Seck,1989-08-10,36.4,193.04,88.0,"CDM,CM",Senegal,72,72,2500000.0,11000.0,Left,1,3,2,Normal,,,,,,38,31,78,67,46,53,35,39,56,65,33,51,44,69,34,71,33,90,91,38,78,78,43,66,43,78,70,71,63,"['CDM', 'CM']",CDM,2,False,False,False,False,ibrahima-seck-1989-08-10
F. Platte,Felix Platte,1996-02-11,29.9,190.5,86.2,ST,Germany,70,77,2500000.0,11000.0,Right,1,3,3,Normal,4600000.0,,,,,35,69,72,59,65,64,64,33,42,68,65,67,55,65,58,71,69,59,85,61,64,22,70,54,55,59,18,21,17,['ST'],ST,1,False,False,False,False,felix-platte-1996-02-11
K. Sekgota,Kgaogelo Sekgota,1997-06-22,28.6,170.18,69.9,"RW,LW",South Africa,65,75,875000.0,2000.0,Left,1,3,3,Normal,2000000.0,,,,,61,58,46,55,65,68,61,48,43,65,85,78,86,58,83,73,53,65,52,67,35,22,60,57,59,49,21,23,23,"['RW', 'LW']",RW,2,False,False,False,False,kgaogelo-sekgota-1997-06-22
H. Abe,安部 裕葵,1999-01-28,27.0,170.18,64.9,"LM,RM",Japan,67,80,1400000.0,2000.0,Right,1,3,3,Lean,2700000.0,,,,,45,64,56,58,64,81,45,32,45,71,91,90,80,55,85,64,69,66,54,51,33,17,64,58,58,59,51,24,15,"['LM', 'RM']",LM,2,False,False,False,False,1999-01-28
D. Davis,David Davis,1991-02-20,34.9,152.4,82.1,"CM,CAM",England,69,69,1100000.0,13000.0,Right,1,3,3,Normal,2100000.0,,,,,67,63,64,67,54,67,59,58,67,67,76,76,70,69,77,74,74,84,82,69,86,68,62,65,47,63,66,69,71,"['CM', 'CAM']",CM,2,False,False,False,False,david-davis-1991-02-20
W. Moke,Wilfred Moke,1988-02-12,37.9,182.88,78.0,"CB,CDM",DR Congo,67,67,575000.0,7000.0,Right,1,2,2,Lean,1200000.0,,,,,46,27,49,64,22,49,50,36,55,45,71,74,56,63,63,59,73,85,77,21,65,66,37,54,39,49,68,74,67,"['CB', 'CDM']",CB,2,False,False,False,False,wilfred-moke-1988-02-12
Heitinho Zanon,Heitor Edvaldo Zanon Barros,1984-02-29,41.9,187.96,78.9,"CB,LB",Brazil,71,71,725000.0,8000.0,Left,1,4,2,Normal,1400000.0,,,,,51,29,63,48,24,22,33,49,44,48,60,62,68,79,50,56,79,77,74,25,79,77,22,44,44,70,64,73,75,"['CB', 'LB']",CB,2,False,False,False,False,heitor-edvaldo-zanon-barros-1984-02-29
S. Bornauw,Sebastiaan Bornauw,1999-03-22,26.8,190.5,88.0,CB,Belgium,70,82,2700000.0,4000.0,Right,1,3,2,Normal,4600000.0,,,,,65,34,68,67,26,56,41,42,72,65,60,64,58,62,52,61,63,66,88,39,71,63,42,57,34,62,65,71,67,['CB'],CB,1,False,False,False,False,sebastiaan-bornauw-1999-03-22
A. Simpson,Aaron Simpson,1999-06-17,26.6,175.26,64.0,LB,England,57,71,200000.0,1000.0,Left,1,3,2,Lean,475000.0,,,,,59,24,44,40,22,59,50,34,24,51,87,82,77,49,82,60,74,69,58,37,43,48,46,30,40,39,51,52,50,['LB'],LB,1,False,False,False,False,aaron-simpson-1999-06-17
H. Kadish,Hassan Kadish,1992-09-26,33.3,152.4,73.0,LB,Saudi Arabia,66,67,625000.0,9000.0,Left,1,3,2,Normal,1100000.0,,,,,65,30,61,58,29,57,51,55,56,62,74,74,74,62,60,58,84,76,77,53,61,59,60,54,40,49,65,63,63,['LB'],LB,1,False,False,False,False,hassan-kadish-1992-09-26
Y. Segawa,瀬川 祐輔,1994-02-07,31.9,170.18,67.1,"ST,LM,RW",Japan,64,69,625000.0,3000.0,Right,1,3,2,Lean,828000.0,,,,,58,65,50,59,65,61,58,39,53,57,87,84,76,59,81,66,70,72,58,58,44,24,62,60,51,53,28,23,26,"['ST', 'LM', 'RW']",ST,3,False,False,False,False,1994-02-07
D. Moreno,Daniel Moreno,1995-01-15,31.0,152.4,78.0,"RM,ST",Colombia,63,68,500000.0,1000.0,Right,1,3,2,Lean,738000.0,,,,,51,61,58,49,53,63,45,34,47,56,87,88,86,63,66,53,80,86,53,57,43,15,65,54,58,62,17,16,19,"['RM', 'ST']",RM,2,False,False,False,False,daniel-moreno-1995-01-15
Y. Andreu,Yoann Andreu,1989-05-03,36.7,152.4,69.9,LB,France,71,71,1800000.0,14000.0,Right,1,3,3,Lean,3600000.0,,,,,71,22,63,68,28,66,45,31,63,70,65,64,67,68,73,36,66,73,65,29,67,68,54,53,28,65,73,73,72,['LB'],LB,1,False,False,False,False,yoann-andreu-1989-05-03
Angelo Campos,Angelo Campos Oliveira,2000-03-30,25.8,152.4,77.1,ST,Portugal,54,64,100000.0,1000.0,Right,1,4,2,Lean,165000.0,,,,,31,51,47,39,40,52,37,29,32,51,72,70,65,54,65,51,64,57,55,45,35,12,59,44,50,54,18,19,15,['ST'],ST,1,False,False,False,False,angelo-campos-oliveira-2000-03-30
W. Henry,Will Henry,1998-07-06,27.5,154.94,77.1,GK,England,49,63,50000.0,1000.0,Right,1,2,1,Normal,119000.0,,,,,13,5,13,27,9,14,10,12,21,15,16,27,31,43,34,15,47,16,44,8,25,12,6,16,17,35,11,13,14,['GK'],GK,1,False,False,False,False,will-henry-1998-07-06
A. Delap,Adrian Delap,1998-11-30,27.1,154.94,68.0,"RB,RM",Republic of Ireland,51,65,70000.0,1000.0,Right,1,2,2,Lean,152000.0,,,,,42,28,33,44,25,52,38,24,34,46,73,67,72,52,73,39,52,60,42,33,52,50,45,40,32,45,46,48,46,"['RB', 'RM']",RB,2,False,False,False,False,adrian-delap-1998-11-30
A. Abrashi,Amir Abrashi,1990-03-27,35.8,172.72,71.2,CDM,Albania,71,71,1900000.0,15000.0,Right,1,2,2,Stocky,3500000.0,,,,,52,53,38,65,47,60,51,45,59,63,67,64,82,68,87,74,74,83,68,61,89,73,56,60,54,58,71,75,76,['CDM'],CDM,1,False,False,False,False,amir-abrashi-1990-03-27
Rúben Macedo,Rúben Daniel Fonseca Macedo,1996-03-09,29.9,170.18,63.0,"LW,RW",Portugal,69,77,1500000.0,6000.0,Right,1,3,3,Normal,,,,,,65,62,31,66,52,76,73,63,57,71,75,74,83,64,84,70,70,69,55,64,46,20,64,62,68,70,32,25,21,"['LW', 'RW']",LW,2,False,False,False,False,r-ben-daniel-fonseca-macedo-1996-03-09
L. Wilkinson,Luke Wilkinson,1991-12-02,34.1,187.96,73.9,CB,England,61,62,240000.0,2000.0,Right,1,2,2,Normal,438000.0,,,,,39,22,61,31,52,19,50,55,46,33,53,56,67,54,72,66,80,74,80,20,71,60,42,35,44,65,58,62,57,['CB'],CB,1,False,False,False,False,luke-wilkinson-1991-12-02
R. Gorman,Rhys Gorman,1994-01-24,32.0,182.88,74.8,"CB,CDM",Republic of Ireland,53,58,70000.0,1000.0,Right,1,2,2,Normal,114000.0,,,,,40,44,54,55,40,52,46,41,53,54,43,38,34,40,47,42,48,48,63,32,47,53,38,40,43,52,48,56,52,"['CB', 'CDM']",CB,2,False,False,False,False,rhys-gorman-1994-01-24
J. Hoogma,Justin Hoogma,1998-06-11,27.6,190.5,81.2,CB,Netherlands,69,80,1600000.0,10000.0,Left,1,3,2,Lean,,,,,,28,23,58,69,30,45,37,33,71,70,67,65,63,68,60,47,54,67,76,24,68,71,32,34,35,63,67,72,69,['CB'],CB,1,False,False,False,False,justin-hoogma-1998-06-11
E. Çolak,Emre Çolak,1991-05-20,34.7,170.18,67.1,"CAM,RM",Turkey,76,76,8000000.0,25000.0,Left,2,3,4,Normal,13200000.0,,,,,77,69,63,77,70,76,75,79,76,79,71,66,82,72,90,71,37,67,40,72,52,45,72,75,72,71,35,44,43,"['CAM', 'RM']",CAM,2,False,False,False,False,emre-olak-1991-05-20
